name,age,height (cm),"wight (kg), rank"
Hayley Hunter,26,160.02,56.69904625,144
Lauren Lovick,30,156.0,57.0,145
Amanda Fusuma,25,153.0,55.0,146
Kelcy Ware,33,162.56,65.77089365,147
Vaar Thurmann-Moe,23,168.0,70.0,148
Sarah Harrison,27,,,149
Rebecka Vitesson,28,173.0,65.0,150
Veera Koskelainen,31,165.0,57.0,151
Freja Duelund Gravsen,24,,,152
Emma Gardner,19,,62.59574706,153
Mikaela Norman,29,179.0,68.0,154
Bailey Rogers,31,170.0,74.0,155
Heather Hosmer,37,162.56,56.24545388,156
Leah Irons,30,162.56,63.502931800000006,157
Claire Truax,18,167.64000000000001,68.0388555,158
Stevie Dellinger,32,162.56,68.0388555,159
Seungyeon Choi,23,168.0,67.58526313,160
Emily Rethwill,29,165.1,61.68856232,161
Ana Martinez,28,2.0,57.0,162
Zoe Ziegler,28,154.94,54.4310844,163
Erica Folo,21,157.48,59.874192840000006,164
Kyra Milligan,25,,61.23496995,165
Jevon Thompson,34,157.48,57.60623099,166
Aimee Tawhai,30,163.0,66.0,167
Yuko Sakuyama,35,152.0,54.4310844,168
Emily Claw,25,,,169
Winter Nicolette Rodriguez,27,165.1,70.30681735,170
Olivia Sulek,18,165.1,65.77089365,171
Isabel Simonis,24,175.26,70.0,172
Danielle Dunlap,32,162.56,61.68856232,173
Solveig Sigurdardottir,27,170.0,68.0388555,174
Christina Agerbeck,31,161.0,60.0,175
Marina Coutinho,26,,28.576319310000002,176
Brittany Bolella,33,157.48,58.9670081,177
Claudia Reque,27,152.4,58.9670081,178
Justine Firly,28,164.0,64.0,179
Karla Bazan,36,,,180
Manon Lesur,31,163.0,65.77089365,181
Kloie Wilson,24,170.18,70.30681735,182
Sami Scorzelli,33,165.1,68.0388555,183
Grace Walton,21,164.0,70.0,184
Anne Haisch,23,177.0,,185
Matilda Siikavuopio,31,,,186
Kaela Stephano,21,154.94,52.61671492,187
Shaylin Laure,29,165.1,68.0388555,188
Madeleine Persson,30,164.0,69.0,189
Samantha Garihan,28,162.56,63.502931800000006,190
Sarah Stejskal,30,170.18,70.30681735,191
Hilary Steele,32,147.32,54.4310844,192
Alex Willis,20,167.64000000000001,68.0388555,193
Jade Williams,31,,,194
Chloe Carano,21,157.48,61.23496995,195
Dawon Jung,27,170.0,65.0,196
Victoria Robertson,26,,,197
Nicole Soto,35,,62.59574706,198
Caroline Dardini,30,154.94,56.24545388,199
Laura Plaza González,20,164.0,61.0,200
Mirakim Couvrette,31,160.02,64.41011654,201
Sara Pinto,33,162.0,61.0,202
Tina Moeglin,28,155.0,50.0,203
Maribel Gallardo,24,167.0,65.0,204
Lois Smith,30,173.0,70.0,205
Stine Moen Nilsen,29,164.0,68.0,206
Carina Simoes,31,157.0,56.0,207
Abigail Casey,24,,,208
Lillian Nagao Leitão,23,,,209
Ashley Shaeffer,37,162.56,61.23496995,210
Antea Longo,34,160.0,60.0,211
Meredith Swindle,30,172.72,70.30681735,212
Miriam Hazlett,25,152.4,58.9670081,213
Colette Casey,36,162.56,65.77089365,214
Sonia Morey,29,,60.32778521,215
Chelsea Lyons,33,172.72,74.84274105,216
Hannah Pruitt,33,160.02,61.23496995,217
Charlotte Spence,35,157.48,66.0,218
Alison Scudds,29,160.02,63.502931800000006,219
Angelique Connoway,29,172.0,69.0,220
Natalia Kaczmarska,36,160.0,67.0,221
Toya Nelson,29,157.48,60.32778521,222
Oddrún Eik Gylfadottir,33,163.0,58.05982336,223
Oana Catalina Chelmus,35,160.0,61.0,224
Karla Wolford,38,170.18,70.30681735,225
Manon Angonese,29,163.0,66.0,226
Margaux Masset,26,,,227
Vanessa Spanier,24,157.0,58.0,228
Laura Mugnier,31,,,229
Evie Hollis,25,158.0,65.77089365,230
Julia Holm,33,165.1,67.13167076,231
Sabrina Dellagiustina,31,,,232
Linda Keesman,28,174.0,73.0,233
Amanda Macahan,32,152.4,56.69904625,234
Dayana Vicentelli,28,,,235
Alexis Machuga,28,167.64000000000001,63.502931800000006,236
Nikki Matarazzo,31,152.0,63.95652417,237
Kelly Marshall,41,167.0,66.67807839000001,238
Sophia Michail,26,,,239
Carrie Beamer,30,160.02,61.23496995,240
Caroline Kluttz,34,170.18,68.0388555,241
Chelsea Hanson,39,162.56,58.05982336,242
Erica Kelly,32,160.02,56.69904625,243
Leigha Dean,30,161.0,63.502931800000006,244
Marnie Sykes,29,172.0,30.84428116,245
Maria Astashova,27,170.0,68.0,246
Sarah Keshishian,28,170.18,68.0388555,247
Lexia Null,30,,,248
Hattie Kanyo,30,162.56,65.77089365,249
Ally Blodgett,18,,,250
Symantha Donaldson,19,165.1,68.0388555,251
Joey Kimdon,44,154.94,56.69904625,252
Jessica Casas,43,,63.0,253
Audrey-Ann Perry-Dupuis,22,160.0,53.97749203,254
Rebecca Voigt Miller,41,175.26,68.94604024,255
Evelyn Kimball,19,149.86,49.895160700000005,256
Shahad Budebs,27,160.0,58.0,257
Megan Markee,34,157.48,56.69904625,258
Austin Lavallii,32,160.02,63.502931800000006,259
Aizhan Zharasova,28,156.0,60.0,260
Katie Calyore,29,167.64000000000001,63.502931800000006,261
Ane Randa,24,162.0,61.0,262
Cheryl Nasso,37,162.56,61.23496995,263
Marina Crismariu,26,,,264
Maria Bernardo,26,,,265
Stephanie Chung,30,165.1,68.0388555,266
Paulina Haro,18,156.0,63.0,267
Taylor Rector,29,162.56,69.85322498000001,268
Taylor Reber,28,,,269
Jessie Dickinson,33,,,270
Lindsey Sturtz,21,170.18,72.57477920000001,271
Christina Livaditakis,25,153.0,63.0,272
Megan Lovegrove,33,158.0,65.0,273
Keara Napoli,23,167.64000000000001,73.48196394,274
Taylor Williamson,28,175.26,72.57477920000001,275
Kenzie Nolte,26,,,276
Ana Valladares,25,155.0,58.9670081,277
Helen Nutter,29,164.0,71.0,278
Michelle Merand,33,158.0,58.0,279
Francesca Zagaglini,25,,,280
Jimena Delamer,40,164.0,63.0,281
Rikke Laursen,25,,,282
Kelley Jackson,38,157.48,58.9670081,283
Carrie Baker,26,,,284
Kristen Turner,30,162.56,60.781377580000004,285
Natalie Thompson,28,172.72,70.30681735,286
Bridget Corcoran,31,159.0,58.0,287
Jasmine Ghilardi,24,,,288
Cyntia Evans,32,,,289
Faith Stewart,27,157.48,59.420600470000004,290
Gabrielle Spenst,24,170.18,73.48196394,291
Ashley Banks,33,172.72,64.86370891,292
Madeline Shelling,28,165.0,69.0,293
Tommie Deprima,35,160.02,58.9670081,294
Tammy Gyorkos,33,162.56,58.9670081,295
Helena Falk,43,165.0,65.0,296
Laura Clifton,27,162.0,75.0,297
Brianna Kource,22,162.56,63.502931800000006,298
Deanna Posey,43,167.64000000000001,67.13167076,299
Elly Hutchens,24,168.0,65.0,300
Allison Carley,44,167.64000000000001,64.41011654,301
Stacy Loushin,28,167.64000000000001,68.0388555,302
Emma Armstrong,28,,,303
Jadzia Truszkowski,34,157.48,61.23496995,304
Felicia Eklund,26,162.0,60.0,305
Tatiana Diakou,22,165.0,68.0,306
Paige Powers,19,160.02,68.49244787,307
Anna Woods,28,157.48,58.9670081,308
Vanessa Wagner,31,169.0,65.0,309
Elena Budz,23,160.02,60.32778521,310
Sabrina Raahauge,31,168.0,67.0,311
Colleen Lehane,36,157.48,61.23496995,312
Jaydan Velasquez,17,152.4,54.4310844,313
Rachel Noel,22,172.72,70.30681735,314
Patricia Simoes,27,,,315
Rachel Cannon,29,157.48,58.9670081,316
Maddie Kresevic,26,162.56,56.69904625,317
Michelle Palmer,37,175.26,71.66759446,318
Kristy Rizzo,34,165.1,68.0388555,319
Mariangela Cordero,29,157.0,56.0,320
Nicole Crouch,29,,,321
Adrienne Geary,24,,,322
Amber Takara,27,157.48,55.791861510000004,323
Jay-Lee Mansy,34,,,324
Marie Robin,25,,,325
Marina Bennasar,29,,,326
Jess Krezmien,36,160.02,61.23496995,327
Gemma Hauck,23,,,328
Mariya Naydenova,33,,,329
Emiko Naets,32,171.0,65.0,330
Brynn Carrick,23,172.72,68.0388555,331
Jamie Latimer,38,162.56,59.874192840000006,332
Aoife Burke,31,165.0,69.0,333
Emily Andrade,26,161.0,62.142154690000005,334
Magalie Courtemanche,30,171.0,63.502931800000006,335
Paula Santos,35,157.48,57.152638620000005,336
Kelli Holm,40,165.1,63.502931800000006,337
Tyla Francois,25,162.0,60.0,338
Roran Scott,26,160.02,64.86370891,339
Andra Moistus,26,165.0,59.0,340
Hannah Erickson,23,,61.23496995,341
Anastasia Kutlina,27,,,342
Brianna Crim,20,152.4,56.69904625,343
Kat Grillo,30,154.94,61.23496995,344
Jasmine Sheehan,33,165.1,62.59574706,345
Lily Burkhead,21,167.64000000000001,68.0388555,346
Hester Lowe,31,,,347
Kelly Benfey,30,165.1,69.39963261,348
Kirsty Stroud,33,163.0,65.77089365,349
Kay Wirkner,27,,,350
Ally Galloway,30,,61.23496995,351
Georgia Ayres,22,,,352
Sandra Annett,33,164.0,71.66759446,353
Paige Henry,32,162.56,65.77089365,354
Franziska Höger,28,,,355
Monot Angelique,27,163.0,55.0,356
Alexis Burgan,27,154.94,61.23496995,357
Jessica Borg Ghigo,38,167.0,70.0,358
Ingrid Tøndel,25,,,359
Louise Wickström,32,162.0,67.0,360
Johanna Formont,34,157.0,49.0,361
Silje Toennesen,29,174.0,66.0,362
Henrieke Baunack,25,,,363
Michelle Basnett,25,165.1,67.13167076,364
Grace Lochner,19,170.18,,365
Rachel Clousing,29,165.1,65.77089365,366
Kelly Stone,31,165.1,68.0388555,367
Emily Clements,27,167.0,67.0,368
Carly Stote,30,154.94,55.791861510000004,369
Maisa Ghanem,27,158.0,55.0,370
Madison Jefferson,23,160.02,58.9670081,371
Victoria Caruso,31,167.64000000000001,72.57477920000001,372
Lisa Eble,31,160.0,65.77089365,373
Mia Hesketh,32,168.0,68.0,374
Réka Simon,24,165.0,65.0,375
Agustina Haag,28,167.0,65.0,376
Iselin Brogeland,31,163.0,62.0,377
Hanne Short,34,170.0,,378
Aleksandra Lech,32,156.0,57.0,379
Julia Kamide,25,,,380
CiCi Clark,25,,,381
Tanja Davidsdottir,25,168.0,61.0,382
Simona Quintana,26,167.0,65.0,383
Chantal Bouchard,33,157.48,55.33826914,384
Carlie Stone,33,162.56,69.39963261,385
Amber Sikora,32,165.1,63.502931800000006,386
Paloma Pereira,20,,,387
Autumn Mills,33,160.0,58.9670081,388
Maggie O'Brien,29,162.56,58.9670081,389
Vera Bernabe-Payol,32,157.0,57.0,390
Carly Lucas,25,160.02,65.77089365,391
Beatriz Allo,29,159.0,55.0,392
Kelly Clark,35,162.56,65.77089365,393
Melissa Golchuk,30,167.64000000000001,70.30681735,394
Sammy Nalley,33,165.1,68.94604024,395
Filippa Ferm,22,167.0,60.0,396
Kerri Hewitt,26,167.0,65.0,397
Lucy Pacheco,27,,,398
Jennifer Nobis-Dancer,38,170.18,69.39963261,399
Christine Kolenbrander,30,167.64000000000001,68.49244787,400
